Elements: All (Neon - Fermium)
Transitions: K edge, L1 edge, L2 edge, and L3 edge
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Ne		K edge	870.73	0.16	866.9001	0.0090	870.23	0.18				1d
Ne		L1 edge	53.04	0.40			48.445	0.050				
Ne		L2 edge	21.63	0.39			21.661	0.010				
Ne		L3 edge	21.55	0.38			21.564	0.010				
Na		K edge	1080.15	0.15	1071.68	0.14	1071.52	0.13				1d
Na		L1 edge	75.16	0.35			63.57	0.20				
Na		L2 edge	38.38	0.37	30.61	0.56	30.60	0.10				1d
Na		L3 edge	38.21	0.37	30.61	0.56	30.40	0.20				1d
Mg		K edge	1312.30	0.14	1303.403	0.020	1303.33	0.27				1d
Mg		L1 edge	100.75	0.29	62.839	0.047	88.62	0.20				1d
Mg		L2 edge	58.16	0.35	49.732	0.030	49.50	0.10				1d
Mg		L3 edge	57.90	0.35	49.454	0.029	49.790	0.061				1d
Al		K edge	1569.56	0.13	1559.893	0.015	1559.53	0.27				1d
Al		L1 edge	130.62	0.25	87.005	0.090	117.87	0.30				1d
Al		L2 edge	82.44	0.34	72.760	0.063	72.75	0.20				1d
Al		L3 edge	82.03	0.34	72.760	0.063	72.870	0.061				1d
Si		K edge	1850.26	0.13	1840.05	0.40	1839.13	0.37				1d
Si		L1 edge	163.72	0.20			149.80	0.50				
Si		L2 edge	110.59	0.34	100.8	1.2	99.20	0.10				1d
Si		L3 edge	109.10	0.34	100.8	1.2	99.340	0.061				1d
P		K edge	2154.24	0.12	2143.54	0.55	2144.5	2.5				1d
P		L1 edge	199.79	0.16			189.0	1.0				
P		L2 edge	141.10	0.33	131.9	2.1	136.0	1.0				1d
P		L3 edge	139.51	0.32	131.9	2.1	130.010	0.061				1d
S		K edge	2481.71	0.12	2470.506	0.073	2471.63	0.70				1d
S		L1 edge	239.15	0.11								
S		L2 edge	174.70	0.33			163.60	0.30				
S		L3 edge	172.91	0.32			163.820	0.061				
Cl		K edge	2832.76	0.12	2819.639	0.095	2822.64	0.71				1d
Cl		L1 edge	281.80	0.15			270.0	1.0				
Cl		L2 edge	211.49	0.33			202.0	1.0				
Cl		L3 edge	209.09	0.31			200.0	1.0				
Ar		K edge	3207.44	0.12	3202.933	0.061	3206.14	0.54				1d
Ar		L1 edge	327.31	0.23			326.30	0.10				
Ar		L2 edge	251.55	0.32			250.57	0.27				
Ar		L3 edge	249.54	0.31			248.46	0.53				
K		K edge	3616.22	0.12	3607.81	0.16	3608.49	0.16				1d
K		L1 edge	386.25	0.22			378.60	0.30				
K		L2 edge	304.25	0.33	294.5	1.0	297.28	0.23				1d
K		L3 edge	301.62	0.31	294.5	1.0	294.55	0.22				1d
Ca		K edge	4049.35	0.12	4038.12	0.19	4038.34	0.14	4050.48	0.30		1d 17v
Ca		L1 edge	450.46	0.20			438.50	0.50				
Ca		L2 edge	361.79	0.32	352.92	0.15	350.40	0.39				1d
Ca		L3 edge	358.37	0.30	349.34	0.15	346.611	0.066	356.28	0.50		1d 22v
Sc		K edge	4501.68	0.12	4488.9	2.4	4489.37	0.47				1d
Sc		L1 edge	510.11	0.29			498.00	0.30				
Sc		L2 edge	416.25	0.33			403.62	0.22				
Sc		L3 edge	411.53	0.31			398.55	0.47				
Ti		K edge	4977.92	0.12	4964.58	0.15	4964.881	0.059				1d
Ti		L1 edge	573.33	0.33			561.05	0.60				
Ti		L2 edge	473.85	0.33	454.31	0.25	460.00	0.23				1d
Ti		L3 edge	467.55	0.31	454.31	0.25	453.979	0.061				1d
V		K edge	5478.28	0.12	5463.757	0.050	5464.43	0.26				13d
V		L1 edge	639.78	0.37			626.86	0.60				
V		L2 edge	534.69	0.33			519.72	0.19				
V		L3 edge	526.50	0.31			512.21	0.22				
Cr		K edge	5995.66	0.12	5989.017	0.040	5989.16	0.48	5994.90	0.50		13d 17v
Cr		L1 edge	702.31	0.40	742.4	6.6	696.37	0.60				1d
Cr		L2 edge	591.60	0.33	692.6	5.7	583.57	0.48				1d
Cr		L3 edge	581.78	0.30	598.9	4.3	574.36	0.13	576.28	0.50		1d 18v
Mn		K edge	6552.12	0.12	6537.667	0.020	6537.68	0.14	6551.39	0.50		13d 17v
Mn		L1 edge	782.94	0.44			769.48	0.90				
Mn		L2 edge	665.92	0.33			649.88	0.19				
Mn		L3 edge	654.02	0.31			638.89	0.14	649.00	0.50		 19v
Fe		K edge	7125.87	0.13	7110.747	0.020	7110.86	0.40				13d
Fe		L1 edge	859.80	0.48			848.6	2.0				
Fe		L2 edge	736.35	0.34	720.74	0.31	719.80	0.39				1d
Fe		L3 edge	722.74	0.31	707.46	0.30	706.86	0.14				1d
Co		K edge	7724.26	0.13	7708.776	0.020	7708.75	0.80				13d
Co		L1 edge	940.18	0.51			925.26	0.59				
Co		L2 edge	810.18	0.34	793.84	0.38	793.38	0.71				1d
Co		L3 edge	794.62	0.31	779.03	0.36	778.36	0.21				1d
Ni		K edge	8347.42	0.14	8331.486	0.020	8331.0	1.4				13d
Ni		L1 edge	1024.13	0.55			1008.4	1.1				
Ni		L2 edge	887.46	0.34	870.54	0.45	870.0	1.4				1d
Ni		L3 edge	869.70	0.31	853.58	0.43	852.74	0.34				1d
Cu		K edge	8987.96	0.15	8980.476	0.020	8980.5	1.0	8987.89	0.50		13d 17v
Cu		L1 edge	1103.12	0.59			1098.0	1.5				
Cu		L2 edge	959.58	0.34	952.68	0.11	952.5	1.0	959.70	0.50		1d 20v
Cu		L3 edge	939.85	0.31	933.04	0.10	932.68	0.45	939.50	0.50		1d 20v
Zn		K edge	9668.55	0.15	9660.755	0.030	9660.7	1.2				13d
Zn		L1 edge	1203.31	0.58	949.3	1.1	1196.7	1.4				1d
Zn		L2 edge	1052.33	0.36	1045.21	0.13	1044.94	0.58				1d
Zn		L3 edge	1029.45	0.31	1022.03	0.12	1021.8	1.2				1d
Ga		K edge	10377.76	0.16	10368.1	1.3	10368.31	0.44				1d
Ga		L1 edge	1309.87	0.65	1302.7	1.0	1302.6	1.5				1d
