Elements: All (Neon - Fermium)
Transitions: KL2 (Kalpha2), KL3 (Kalpha1), KM2 (Kbeta3), KM3 (Kbeta1), KM4 (Kbeta5 II), KM5 (Kbeta5 I), KN2 (Kbeta2 II), KN3 (Kbeta2 I), KN4 (Kbeta4 II), KN5 (Kbeta4 I), L2M4 (Lbeta1), L3M4 (Lalpha2), L3M5 (Lalpha1), and L3N5 (Lbeta2)
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Blend	Ref.
Ne		KL2	849.09	0.54	848.61	0.26	KL2,3	1d
Ne		KL3	849.17	0.54	848.61	0.26	KL2,3	1d
Ne		KM2			857.89	0.44	KM	1d
Ne		KM3			857.89	0.44	KM	1d
Ne		KM4			857.89	0.44	KM	1d
Ne		KM5			857.89	0.44	KM	1d
Na		KL2	1041.77	0.51	1040.98	0.12	KL2,3	1d
Na		KL3	1041.94	0.51	1040.98	0.12	KL2,3	1d
Na		KM2			1071.12	0.27	KM	1d
Na		KM3			1071.12	0.27	KM	1d
Na		KM4			1071.12	0.27	KM	1d
Na		KM5			1071.12	0.27	KM	1d
Mg		KL2	1254.14	0.49	1253.437	0.013		2d
Mg		KL3	1254.39	0.49	1253.688	0.011		2d
Mg		KM2			1302.20	0.40	KM	1d
Mg		KM3			1302.20	0.40	KM	1d
Mg		KM4			1302.20	0.40	KM	1d
Mg		KM5			1302.20	0.40	KM	1d
Al		KL2	1487.12	0.47	1486.295	0.010		2d
Al		KL3	1487.53	0.47	1486.708	0.010		2d
Al		KM2	1561.28	0.96	1557.57	0.58	KM	1d
Al		KM3			1557.57	0.58	KM	1d
Al		KM4			1557.57	0.58	KM	1d
Al		KM5			1557.57	0.58	KM	1d
Si		KL2	1739.67	0.47	1739.394	0.034		3d
Si		KL3	1741.16	0.47	1739.985	0.019		3d
Si		KM2	1841.79	0.72	1835.96	0.40	KM	1d
Si		KM3			1835.96	0.40	KM	1d
Si		KM4			1835.96	0.40	KM	1d
Si		KM5			1835.96	0.40	KM	1d
