element,standard,value,non_detect,rdl,unit,original_unit,original_value
Ag,LKSD 1,0.6,FALSE,NA,ppm,µg/g,0.6
As,LKSD 1,40,FALSE,NA,ppm,µg/g,40
Au,LKSD 1,0.005,FALSE,NA,ppm,ng/g,5
B,LKSD 1,49,FALSE,NA,ppm,µg/g,49
Ba,LKSD 1,430,FALSE,NA,ppm,µg/g,430
Be,LKSD 1,1.1,FALSE,NA,ppm,µg/g,1.1
Br,LKSD 1,11,FALSE,NA,ppm,µg/g,11
C,LKSD 1,123e3,FALSE,NA,ppm,%,12.3
Ce,LKSD 1,27,FALSE,NA,ppm,µg/g,27
Co,LKSD 1,11,FALSE,NA,ppm,µg/g,11
Cr,LKSD 1,31,FALSE,NA,ppm,µg/g,31
Cs,LKSD 1,1.5,FALSE,NA,ppm,µg/g,1.5
Cu,LKSD 1,44,FALSE,NA,ppm,µg/g,44
Dy,LKSD 1,3.4,FALSE,NA,ppm,µg/g,3.4
Eu,LKSD 1,0.9,FALSE,NA,ppm,µg/g,0.9
F,LKSD 1,300,FALSE,NA,ppm,µg/g,300
Fe,LKSD 1,28e3,FALSE,NA,ppm,%,2.8
H,LKSD 1,2.92,FALSE,NA,ppm,µg/g,2.92
Hf,LKSD 1,3.6,FALSE,NA,ppm,µg/g,3.6
La,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Li,LKSD 1,7,FALSE,NA,ppm,µg/g,7
L,LKSD 1,23.5,FALSE,NA,ppm,µg/g,23.5
Lu,LKSD 1,0.4,FALSE,NA,ppm,µg/g,0.4
Mn,LKSD 1,700,FALSE,NA,ppm,µg/g,700
Mo,LKSD 1,10,FALSE,NA,ppm,µg/g,10
Nb,LKSD 1,7,FALSE,NA,ppm,µg/g,7
Nd,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Ni,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Pb,LKSD 1,82,FALSE,NA,ppm,µg/g,82
Rb,LKSD 1,24,FALSE,NA,ppm,µg/g,24
S,LKSD 1,15700,FALSE,NA,ppm,%,1.57
Sb,LKSD 1,1.2,FALSE,NA,ppm,µg/g,1.2
Sc,LKSD 1,9,FALSE,NA,ppm,µg/g,9
Sm,LKSD 1,4,FALSE,NA,ppm,µg/g,4
Sn,LKSD 1,16,FALSE,NA,ppm,µg/g,16
Sr,LKSD 1,250,FALSE,NA,ppm,µg/g,250
Ta,LKSD 1,0.3,FALSE,NA,ppm,µg/g,0.3
Tb,LKSD 1,0.6,FALSE,NA,ppm,µg/g,0.6
Th,LKSD 1,2.2,FALSE,NA,ppm,µg/g,2.2
Ti,LKSD 1,3010,FALSE,NA,ppm,µg/g,3010
U,LKSD 1,9.7,FALSE,NA,ppm,µg/g,9.7
V,LKSD 1,50,FALSE,NA,ppm,µg/g,50
W,LKSD 1,NA,TRUE,NA,ppm,µg/g,< 4
Y,LKSD 1,19,FALSE,NA,ppm,µg/g,19
Yb,LKSD 1,2,FALSE,NA,ppm,µg/g,2.0
Zn,LKSD 1,331,FALSE,NA,ppm,µg/g,331
Zr,LKSD 1,134,FALSE,NA,ppm,µg/g,134
Ag,LKSD 2,0.8,FALSE,NA,ppm,µg/g,0.8
As,LKSD 2,11,FALSE,NA,ppm,µg/g,11
Au,LKSD 2,0.003,FALSE,NA,ppm,ng/g,3
B,LKSD 2,65,FALSE,NA,ppm,µg/g,65
Ba,LKSD 2,780,FALSE,NA,ppm,µg/g,780
Be,LKSD 2,2.5,FALSE,NA,ppm,µg/g,2.5
Br,LKSD 2,18,FALSE,NA,ppm,µg/g,18
C,LKSD 2,45e3,FALSE,NA,ppm,%,4.5
Ce,LKSD 2,108,FALSE,NA,ppm,µg/g,108
Co,LKSD 2,17,FALSE,NA,ppm,µg/g,17
Cr,LKSD 2,57,FALSE,NA,ppm,µg/g,57
Cs,LKSD 2,3,FALSE,NA,ppm,µg/g,3.0
Cu,LKSD 2,37,FALSE,NA,ppm,µg/g,37
Dy,LKSD 2,7.3,FALSE,NA,ppm,µg/g,7.3
Eu,LKSD 2,1.9,FALSE,NA,ppm,µg/g,1.9
F,LKSD 2,590,FALSE,NA,ppm,µg/g,590
Fe,LKSD 2,43e3,FALSE,NA,ppm,%,4.3
