standard,method,element,value,stdev,units,detected,is_approximate,detection_limit
oreas 22d,4-Acid Digestion,Ag,NA,NA,ppm,FALSE,FALSE,0.1
oreas 22d,4-Acid Digestion,Al,1321.13333333333,77.9559891437982,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,As,NA,NA,ppm,FALSE,FALSE,1
oreas 22d,4-Acid Digestion,Ba,6.16929333333333,0.631092737187667,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Bi,NA,NA,ppm,FALSE,FALSE,0.1
oreas 22d,4-Acid Digestion,Cd,NA,NA,ppm,FALSE,FALSE,0.1
oreas 22d,4-Acid Digestion,Co,0.850045238095238,0.071035164330269,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Cu,9.23333333333333,1.33983568539786,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Fe,4678.395,369.995075227426,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Hf,0.215,0.0291040260956344,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Li,14.22,1.32986906277946,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Mn,109.266666666667,12.2359936347598,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Mo,2.35975555555556,0.0858402530402885,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Nb,0.88,0.0805155799872918,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Ni,4.3788305555555596,0.631014954836159,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Pb,0.7179,0.2626,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Rb,0.539,0.0615901757887937,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Sb,0.209,0.0306250181696556,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Sn,0.605213333333333,0.013210978125029,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Th,0.666116666666667,0.0950361746008257,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Ti,214.18,7.73482942325547,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,U,0.177669444444444,0.0492291882300562,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,V,2.63333333333333,0.497347461393438,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,W,0.21,0.0314970394174355,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Y,0.685333333333333,0.0743361424138083,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Zn,6.69911944444444,1.31471417246008,ppm,TRUE,FALSE,NA
oreas 22d,4-Acid Digestion,Zr,7.02133333333333,0.599609889598568,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Al,80164.0936637055,4840.56324720289,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Ba,715.75147034148,32.5905326083882,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Be,2.92416666666667,0.473506806341975,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Bi,0.677595238095238,0.0632366973523903,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Ca,10837.5664324599,402.724125451566,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Ce,83.6616666666667,3.49198402843933,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Co,16.876018701114,1.1870611569888,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Cr,118.290476190476,9.91149861918212,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Cs,10.6532777777778,0.406544939556263,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Cu,37.9595315186443,1.58745561977122,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Fe,43940.5180691912,1312.14759934934,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Ga,20.12125,0.816319950062294,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Hf,3.90077789190993,0.540213207224274,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,K,28062.4071996891,1098.74818303882,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,La,42.3547916666667,2.33561885774589,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Li,51.7002784884758,1.16735054109868,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Mg,16479.3528803602,535.935906705287,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Mn,442.261312248924,20.9971314283915,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Mo,4.03243226991726,0.356850329516934,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Na,8457.37478081657,252.32658658638599,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Nb,14.5978864184151,1.28514140933393,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,Ni,60.0775903091849,4.13641474472899,ppm,TRUE,FALSE,NA
oreas 24b,4-Acid Digestion,P,692.872331158502,49.7868396032219,ppm,TRUE,FALSE,NA
